id,type,parent_id,title,priority,status,sprint,owner,estimate,dependencies,acceptance_ref,source_doc,updated_at
TK-2101-05,Task,US-2101,补充目标设置与诊断触发链路测试。,P0,Done,S1,codex,1,TK-2101-03;TK-2101-04,见 S1 原子任务清单,S1-Atomic-Tasks,2026-02-26T14:47:04Z
US-2102,Story,E02,作为考生我可在5分钟内完成首次诊断。,P0,Done,S2,codex,8,US-2101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T15:08:51Z
US-2103,Story,E02,作为考生我可获得可执行的8周学习计划。,P0,Done,S2,codex,8,US-2102,见 Story 验收标准,Story-Catalog-P0,2026-02-26T15:08:51Z
US-2104,Story,E02,作为考生我的学习计划会随表现自动调整。,P0,Done,S5,codex,8,US-2103,见 Story 验收标准,Story-Catalog-P0,2026-02-27T01:34:56Z
US-3101,Story,E03,作为考生我可以完成雅思听力核心题型训练。,P0,Done,S3,codex,8,US-1103;US-2103,见 Story 验收标准,Story-Catalog-P0,2026-02-26T15:34:23Z
US-3102,Story,E03,作为考生我可以回放音频和分段精听。,P0,Done,S3,codex,5,US-3101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T15:34:24Z
US-3103,Story,E03,作为考生我可以看到错因并进入重练。,P0,Done,S3,codex,5,US-3101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T15:34:24Z
US-4101,Story,E04,作为考生我可以发起实时口语会话并连续对话。,P0,Done,S3,codex,8,US-1103,见 Story 验收标准,Story-Catalog-P0,2026-02-26T15:34:24Z
US-4102,Story,E04,作为考生我可以练习Part1/2/3且收到追问。,P0,Done,S4,codex,8,US-4101;US-2103,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:11:35Z
US-4103,Story,E04,作为考生我可在每轮作答后获得四维评分反馈。,P0,Done,S4,codex,8,US-4102,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:11:35Z
US-4104,Story,E04,作为考生我可以针对同题再答并查看前后差异。,P0,Done,S4,codex,5,US-4103,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:11:35Z
US-5101,Story,E05,作为考生我可以完成阅读核心题型训练。,P0,Done,S3,codex,8,US-1103;US-2103,见 Story 验收标准,Story-Catalog-P0,2026-02-26T15:34:24Z
US-5102,Story,E05,作为考生我可以看到错题定位证据。,P0,Done,S3,codex,5,US-5101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T15:34:24Z
US-5103,Story,E05,作为考生我可以在训练模式和考试模式切换。,P0,Done,S4,codex,5,US-5101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:11:35Z
US-6101,Story,E06,作为考生我可以提交Task1/2并获得四维评分。,P0,Done,S4,codex,8,US-1103;US-2103,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:11:35Z
US-6102,Story,E06,作为考生我可以获得证据化修改建议。,P0,Done,S4,codex,5,US-6101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:11:35Z
US-6103,Story,E06,作为考生我可以改写后复评并对比提升。,P0,Done,S5,codex,5,US-6102,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:47:46Z
US-7101,Story,E07,作为考生我可以进行全科计时模考并断点恢复。,P0,Done,S5,codex,8,US-3101;US-4102;US-5101;US-6101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:47:46Z
US-7102,Story,E07,作为考生我可以在模考后快速获得复盘报告。,P0,Done,S5,codex,8,US-7101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:47:46Z
US-7103,Story,E07,作为考生我的下周计划会基于模考结果调整。,P0,Done,S5,codex,5,US-7102;US-2104,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:47:46Z
US-8101,Story,E08,作为免费用户我会被正确应用试用额度和限制。,P0,Done,S5,codex,5,US-1102,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:47:46Z
US-8102,Story,E08,作为用户我可以完成订阅升级取消续费与恢复。,P0,Done,S5,codex,8,US-8101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:47:46Z
US-8103,Story,E08,作为用户我在四端看到一致的权益状态。,P0,Done,S5,codex,5,US-8102;US-1103,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:47:46Z
US-9101,Story,E09,作为产品与运营我可以看到完整学习行为数据。,P0,Done,S6,codex,8,E03;E04;E05;E06;E07;E08,见 Story 验收标准,Story-Catalog-P0,2026-02-26T17:34:47Z
US-9102,Story,E09,作为AI运维我可以监控模型路由与回退质量。,P0,Done,S6,codex,8,US-4103;US-6101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T17:34:47Z
US-10101,Story,E10,作为QA我可以执行四端统一回归测试集。,P0,Done,S6,codex,8,E01;E02;E03;E04;E05;E06;E07;E08;E09;E11,见 Story 验收标准,Story-Catalog-P0,2026-02-26T17:34:47Z
US-10102,Story,E10,作为发布负责人我可以按门禁策略完成灰度发布。,P0,Done,S6,codex,5,US-10101;US-9102,见 Story 验收标准,Story-Catalog-P0,2026-02-26T17:34:47Z
US-11101,Story,E11,作为运营管理员我可以安全登录后台并按角色访问菜单。,P0,Done,S5,codex,5,US-1102,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:47:46Z
TK-11101-01,Task,US-11101,定义后台登录接口与角色权限模型。,P0,Done,S5,codex,1,,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T16:47:46Z
TK-11101-02,Task,US-11101,实现后台登录接口与管理端令牌签发。,P0,Done,S5,codex,2,TK-11101-01,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T16:47:46Z
TK-11101-03,Task,US-11101,实现RBAC中间件与菜单权限装载逻辑。,P0,Done,S5,codex,1,TK-11101-01,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T16:47:46Z
TK-11101-04,Task,US-11101,实现Admin登录页与角色菜单渲染。,P0,Done,S5,codex,2,TK-11101-02;TK-11101-03,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T16:47:46Z
TK-11101-05,Task,US-11101,补充后台登录越权与失败重试测试。,P0,Done,S5,codex,1,TK-11101-04,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T16:47:46Z
US-11103,Story,E11,作为财务运营我可以查询订单并执行权益人工校正。,P0,Done,S5,codex,8,US-11101;US-8102,见 Story 验收标准,Story-Catalog-P0,2026-02-26T16:47:46Z
TK-11103-01,Task,US-11103,实现后台订单查询接口与筛选分页。,P0,Done,S5,codex,1,TK-11101-04,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T16:47:46Z
TK-11103-02,Task,US-11103,实现权益人工校正接口与幂等保护。,P0,Done,S5,codex,2,TK-11103-01;US-8102,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T16:47:46Z
TK-11103-03,Task,US-11103,实现后台订单与权益校正操作页面。,P0,Done,S5,codex,2,TK-11103-01;TK-11103-02,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T16:47:46Z
TK-11103-04,Task,US-11103,实现权益校正审计落库与回滚标记机制。,P0,Done,S5,codex,1,TK-11103-02,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T16:47:46Z
TK-11103-05,Task,US-11103,补充订单校正链路与回滚场景测试。,P0,Done,S5,codex,1,TK-11103-03;TK-11103-04,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T16:47:46Z
US-11102,Story,E11,作为运营管理员我可以检索用户并执行冻结解冻。,P0,Done,S6,codex,5,US-11101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T17:34:47Z
TK-11102-01,Task,US-11102,实现后台用户检索接口与条件过滤。,P0,Done,S6,codex,1,TK-11101-04,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T17:34:47Z
TK-11102-02,Task,US-11102,实现用户冻结解冻接口与权限校验。,P0,Done,S6,codex,2,TK-11102-01,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T17:34:47Z
TK-11102-03,Task,US-11102,实现后台用户管理页与操作确认弹窗。,P0,Done,S6,codex,2,TK-11102-01;TK-11102-02,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T17:34:47Z
TK-11102-04,Task,US-11102,实现冻结状态同步与缓存失效处理。,P0,Done,S6,codex,1,TK-11102-02,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T17:34:47Z
TK-11102-05,Task,US-11102,补充用户冻结解冻权限与一致性测试。,P0,Done,S6,codex,1,TK-11102-03;TK-11102-04,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T17:34:47Z
US-11104,Story,E11,作为内容管理员我可以上架下架题库并发布版本。,P0,Done,S6,codex,8,US-11101,见 Story 验收标准,Story-Catalog-P0,2026-02-26T17:34:47Z
TK-11104-01,Task,US-11104,定义题库内容状态机与版本字段约束。,P0,Done,S6,codex,1,TK-11101-04,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T17:34:47Z
TK-11104-02,Task,US-11104,实现内容上架下架与版本发布接口。,P0,Done,S6,codex,2,TK-11104-01,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T17:34:47Z
TK-11104-03,Task,US-11104,实现后台内容管理页与发布流程界面。,P0,Done,S6,codex,2,TK-11104-01;TK-11104-02,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T17:34:47Z
TK-11104-04,Task,US-11104,实现内容发布失败回滚与补偿逻辑。,P0,Done,S6,codex,1,TK-11104-02,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T17:34:47Z
TK-11104-05,Task,US-11104,补充内容发布审计与回归测试。,P0,Done,S6,codex,1,TK-11104-03;TK-11104-04,见 S5/S6 原子任务清单,S5S6-Atomic-Tasks,2026-02-26T17:34:47Z
US-3201,Story,E03,作为考生我可以进行听力听写模式训练。,P1,Done,BACKLOG,codex,5,US-3102,见 Story 验收标准,Story-Catalog-P1,2026-02-27T13:27:43Z
US-4201,Story,E04,作为考生我可以获得发音热力图反馈。,P1,Done,BACKLOG,codex,8,US-4103,见 Story 验收标准,Story-Catalog-P1,2026-02-27T13:41:40Z
US-4202,Story,E04,作为考生我可以进行场景化角色扮演口语训练。,P1,Done,BACKLOG,codex,8,US-4102,见 Story 验收标准,Story-Catalog-P1,2026-02-27T13:51:22Z
US-6201,Story,E06,作为考生我可以使用高分写作模板和论证框架。,P1,Done,BACKLOG,codex,5,US-6102,见 Story 验收标准,Story-Catalog-P1,2026-02-27T14:15:08Z
US-8201,Story,E08,作为用户我可以使用优惠券购买订阅。,P1,Done,BACKLOG,codex,5,US-8102,见 Story 验收标准,Story-Catalog-P1,2026-02-27T16:30:42Z
US-8202,Story,E08,作为用户我可以升级到家庭双人计划。,P1,Done,BACKLOG,codex,8,US-8103,见 Story 验收标准,Story-Catalog-P1,2026-02-27T16:49:12Z
US-9201,Story,E09,作为运营我可以配置AB实验以优化转化。,P1,Done,BACKLOG,codex,8,US-9101,见 Story 验收标准,Story-Catalog-P1,2026-02-27T17:34:35Z
US-9202,Story,E09,作为用户我可以收到个性化学习提醒。,P1,Done,BACKLOG,codex,5,US-9101,见 Story 验收标准,Story-Catalog-P1,2026-02-28T01:23:18Z
US-9203,Story,E09,作为运营我可以识别流失风险用户并触发挽回策略。,P1,Done,BACKLOG,codex,8,US-9201;US-9202,见 Story 验收标准,Story-Catalog-P1,2026-02-28T12:04:29Z
US-10201,Story,E10,作为发布负责人我可以维护Beta渠道与用户反馈回流。,P1,Done,S8,codex,5,US-10102,见 Story 验收标准,Story-Catalog-P1,2026-02-28T13:57:32Z
US-10202,Story,E10,作为QA我可以运行稳定性长测并输出趋势报告。,P1,Done,S8,codex,8,US-10101,见 Story 验收标准,Story-Catalog-P1,2026-02-28T14:11:12Z
US-10301,Story,E10,作为发布负责人我可以将 release checklist 与 S9 任务矩阵对齐并输出可执行计划。,P1,Done,S9,codex,3,US-10202,见 S9 原子任务清单,S9-Atomic-Tasks,2026-03-02T14:21:51Z
US-10302,Story,E10,作为CI维护者我可以在 quality-gate 中消费 summary-json 并展示失败步骤表。,P1,Done,S9,codex,3,US-10301,见 S9 原子任务清单,S9-Atomic-Tasks,2026-03-02T14:21:51Z
US-10303,Story,E10,作为开发者我可以通过脚本级回归测试验证 checklist 的 fail-fast 与 continue-on-error 行为。,P1,Done,S9,codex,5,US-10301,见 S9 原子任务清单,S9-Atomic-Tasks,2026-03-02T14:21:51Z
US-10304,Story,E10,作为值班人员我可以在本地 quality-gate 失败后查看结构化日志归档清单。,P1,Done,S9,codex,3,US-10301,见 S9 原子任务清单,S9-Atomic-Tasks,2026-03-02T14:21:51Z
US-10305,Story,E10,作为发布负责人我可以使用 dry-run 预览本次 checklist 的执行步骤。,P1,Done,S9,codex,3,US-10301,见 S9 原子任务清单,S9-Atomic-Tasks,2026-03-02T14:21:51Z
US-10306,Story,E10,作为QA我可以一键执行前端全量回归模式（API+stability+observability+visual）。,P1,Done,S9,codex,3,US-10305,见 S9 原子任务清单,S9-Atomic-Tasks,2026-03-02T14:40:22Z
US-10307,Story,E10,作为发布负责人我可以根据 summary-json 自动生成 release 记录候选模板。,P1,Done,S9,codex,5,US-10301,见 S9 原子任务清单,S9-Atomic-Tasks,2026-03-02T14:40:22Z
US-10308,Story,E10,作为发布管理员我可以将 summary-json 作为 quality-gate artifact 归档与追溯。,P1,Done,S9,codex,3,US-10302;US-10307,见 S9 原子任务清单,S9-Atomic-Tasks,2026-03-02T14:40:22Z
US-10309,Story,E10,作为工程负责人我可以让脚本测试与日志清单一起进入门禁回归流程。,P1,Done,S9,codex,3,US-10303;US-10304,见 S9 原子任务清单,S9-Atomic-Tasks,2026-03-02T14:40:22Z
US-10310,Story,E10,作为发布负责人我可以完成 S9 发布链路增强收口并回填 runbook 与 tracking 台账。,P1,Done,S9,codex,5,US-10306;US-10308;US-10309,见 S9 原子任务清单,S9-Atomic-Tasks,2026-03-02T14:40:22Z
US-10401,Story,E10,作为发布负责人我可以建立 S10 tracking 治理增强任务矩阵并形成执行顺序。,P1,Done,S10,codex,3,US-10310,见 S10 原子任务清单,S10-Atomic-Tasks,2026-03-02T15:15:30Z
US-10402,Story,E10,作为值班人员我可以通过脚本校验 sprint/release/metrics/risk/activity/retro 的同步完整性。,P1,Done,S10,codex,5,US-10401,见 S10 原子任务清单,S10-Atomic-Tasks,2026-03-02T15:15:30Z
US-10403,Story,E10,作为发布负责人我可以在 release checklist 默认执行 tracking 治理校验并支持开关控制。,P1,Done,S10,codex,3,US-10402,见 S10 原子任务清单,S10-Atomic-Tasks,2026-03-02T15:15:30Z
US-10404,Story,E10,作为值班人员我可以在本地 quality-gate 中配置治理校验开关并归档治理 summary。,P1,Done,S10,codex,3,US-10402;US-10403,见 S10 原子任务清单,S10-Atomic-Tasks,2026-03-02T15:15:30Z
US-10405,Story,E10,作为开发者我可以通过脚本级测试验证 tracking 治理校验器的通过与失败场景。,P1,Done,S10,codex,3,US-10402,见 S10 原子任务清单,S10-Atomic-Tasks,2026-03-02T15:15:30Z
US-10406,Story,E10,作为CI维护者我可以在 quality-gate 上传 tracking 治理 summary artifact 供排障追溯。,P1,Done,S10,codex,3,US-10402;US-10403,见 S10 原子任务清单,S10-Atomic-Tasks,2026-03-02T15:15:30Z
US-10407,Story,E10,作为发布负责人我可以在 release 候选记录中合并 tracking summary 指标。,P1,Done,S10,codex,3,US-10402;US-10406,见 S10 原子任务清单,S10-Atomic-Tasks,2026-03-02T15:15:30Z
US-10408,Story,E10,作为项目经理我可以补齐 S2-S9 的 metrics 与 S8/S9 retrospective 以满足治理校验门槛。,P1,Done,S10,codex,5,US-10402,见 S10 原子任务清单,S10-Atomic-Tasks,2026-03-02T15:15:30Z
US-10409,Story,E10,作为团队成员我可以在 runbook 和 tracking README 中找到治理校验命令与参数说明。,P1,Done,S10,codex,2,US-10403;US-10404;US-10407,见 S10 原子任务清单,S10-Atomic-Tasks,2026-03-02T15:15:30Z
US-10410,Story,E10,作为发布负责人我可以完成 S10 治理增强收口并同步 release 与 sprint 台账。,P1,Done,S10,codex,5,US-10405;US-10406;US-10408;US-10409,见 S10 原子任务清单,S10-Atomic-Tasks,2026-03-02T15:15:30Z
US-11201,Story,E11,作为管理员我可以启用高风险操作双人复核。,P1,Done,S7,codex,8,US-11101;US-11103;US-11104,见 Story 验收标准,Story-Catalog-P1,2026-02-28T13:01:57Z
US-11202,Story,E11,作为运营经理我可以导出后台操作与业务报表。,P1,Done,S7,codex,5,US-11101;US-9101,见 Story 验收标准,Story-Catalog-P1,2026-02-28T13:30:17Z
US-11203,Story,E11,作为内容管理员我可以批量导入题库并执行审核流程。,P1,Done,S7,codex,8,US-11104,见 Story 验收标准,Story-Catalog-P1,2026-02-28T13:21:37Z
US-10501,Story,E10,作为发布负责人我可以建立 S11 治理强化二期任务矩阵并固化执行顺序。,P1,Done,S11,codex,2,US-10410,见 S11 原子任务清单,S11-Atomic-Tasks,2026-03-03T10:32:00Z
US-10502,Story,E10,作为维护者我可以在 set_status 流转前执行 sprint 级治理自检并输出定向修复命令。,P1,Done,S11,codex,3,US-10501,见 S11 原子任务清单,S11-Atomic-Tasks,2026-03-03T10:32:00Z
US-10503,Story,E10,作为值班人员我可以根据治理 summary 一键生成补齐模板与修复步骤。,P1,Done,S11,codex,3,US-10502,见 S11 原子任务清单,S11-Atomic-Tasks,2026-03-03T10:32:00Z
US-10504,Story,E10,作为开发者我可以通过脚本测试覆盖 release-record-from-gate 的 dry-run 与冲突场景。,P1,Done,S11,codex,3,US-10503,见 S11 原子任务清单,S11-Atomic-Tasks,2026-03-03T10:32:00Z
US-10505,Story,E10,作为 CI 维护者我可以在 quality-gate 聚合阶段下载 tracking 治理 artifact 并写入 summary。,P1,Done,S11,codex,3,US-10504,见 S11 原子任务清单,S11-Atomic-Tasks,2026-03-03T10:32:00Z
US-10506,Story,E10,作为评审者我可以在 Step Summary 与 PR 评论直接查看 tracking 治理状态与问题数。,P1,Done,S11,codex,3,US-10505,见 S11 原子任务清单,S11-Atomic-Tasks,2026-03-03T10:32:00Z
US-10507,Story,E10,作为开发者我可以补齐 tracking-governance sprint 模式错误码回归测试。,P1,Done,S11,codex,2,US-10502,见 S11 原子任务清单,S11-Atomic-Tasks,2026-03-03T10:32:00Z
US-10508,Story,E10,作为项目成员我可以回填 S11 backlog/activity/metrics/sprint/retro 台账。,P1,Done,S11,codex,5,US-10503;US-10506,见 S11 原子任务清单,S11-Atomic-Tasks,2026-03-03T10:32:00Z
US-10509,Story,E10,作为值班负责人我可以在 runbook/README/实施报告中找到 S11 新增治理能力说明。,P1,Done,S11,codex,3,US-10506;US-10508,见 S11 原子任务清单,S11-Atomic-Tasks,2026-03-03T10:32:00Z
US-10510,Story,E10,作为发布负责人我可以完成 S11 收口并追加 REL-048 发布记录。,P1,Done,S11,codex,5,US-10504;US-10508;US-10509,见 S11 原子任务清单,S11-Atomic-Tasks,2026-03-03T10:32:00Z
US-10601,Story,E10,作为发布负责人我可以建立 S12 治理强化三期任务矩阵并明确执行顺序。,P1,Done,S12,codex,2,US-10510,见 S12 原子任务清单,S12-Atomic-Tasks,2026-03-03T11:35:00Z
US-10602,Story,E10,作为值班人员我可以重复执行治理修复模板而不产生重复追加。,P1,Done,S12,codex,3,US-10601,见 S12 原子任务清单,S12-Atomic-Tasks,2026-03-03T11:35:00Z
US-10603,Story,E10,作为开发者我可以通过测试验证修复模板 apply 脚本的幂等性。,P1,Done,S12,codex,2,US-10602,见 S12 原子任务清单,S12-Atomic-Tasks,2026-03-03T11:35:00Z
US-10604,Story,E10,作为维护者我可以使用 tracking-governance strict 模式将 warning 升级为失败。,P1,Done,S12,codex,5,US-10601,见 S12 原子任务清单,S12-Atomic-Tasks,2026-03-03T11:35:00Z
US-10605,Story,E10,作为发布负责人我可以通过 checklist 开关控制治理 strict 模式启用。,P1,Done,S12,codex,3,US-10604,见 S12 原子任务清单,S12-Atomic-Tasks,2026-03-03T11:35:00Z
US-10606,Story,E10,作为值班人员我可以在本地 quality-gate 透传治理 strict 模式并记录到 manifest。,P1,Done,S12,codex,3,US-10605,见 S12 原子任务清单,S12-Atomic-Tasks,2026-03-03T11:35:00Z
US-10607,Story,E10,作为评审者我可以在 quality-gate 摘要中查看 tracking warnings_count 与 strict_mode。,P1,Done,S12,codex,3,US-10604;US-10606,见 S12 原子任务清单,S12-Atomic-Tasks,2026-03-03T11:35:00Z
US-10608,Story,E10,作为发布管理员我可以在 release 记录 notes 自动携带 summary/tracking artifact 信息。,P1,Done,S12,codex,3,US-10601,见 S12 原子任务清单,S12-Atomic-Tasks,2026-03-03T11:35:00Z
US-10609,Story,E10,作为开发者我可以通过脚本测试覆盖 strict 与 artifact 新增行为。,P1,Done,S12,codex,3,US-10603;US-10608,见 S12 原子任务清单,S12-Atomic-Tasks,2026-03-03T11:35:00Z
US-10610,Story,E10,作为发布负责人我可以完成 S12 收口并追加 REL-049 发布记录。,P1,Done,S12,codex,5,US-10605;US-10607;US-10609,见 S12 原子任务清单,S12-Atomic-Tasks,2026-03-03T11:35:00Z
US-10701,Story,E10,作为发布负责人我可以建立 S13 治理强化四期任务矩阵并明确执行顺序。,P1,Done,S13,codex,2,US-10610,见 S13 原子任务清单,S13-Atomic-Tasks,2026-03-03T12:30:00Z
US-10702,Story,E10,作为值班人员我可以通过 dry-run 预览治理修复模板计划而不落盘。,P1,Done,S13,codex,2,US-10701,见 S13 原子任务清单,S13-Atomic-Tasks,2026-03-03T12:30:00Z
US-10703,Story,E10,作为开发者我可以通过测试验证修复模板 dry-run 不会生成文件。,P1,Done,S13,codex,2,US-10702,见 S13 原子任务清单,S13-Atomic-Tasks,2026-03-03T12:30:00Z
US-10704,Story,E10,作为维护者我可以在 strict 模式下仅升级指定 warning code 为失败。,P1,Done,S13,codex,5,US-10701,见 S13 原子任务清单,S13-Atomic-Tasks,2026-03-03T12:30:00Z
US-10705,Story,E10,作为发布负责人我可以在 checklist 与 local gate 透传 strict warning code 参数。,P1,Done,S13,codex,3,US-10704,见 S13 原子任务清单,S13-Atomic-Tasks,2026-03-03T12:30:00Z
